reading_package	manip_package	op	type	time	size	max_memory	rows	cols
vroom_cran	dplyr	setup	process	0.14756096999999999	49079914	1505325056	100000	25
vroom_cran	dplyr	setup	real	0.14755797386169434	49079914	1505325056	100000	25
vroom_cran	dplyr	read	process	0.13281137800000004	49079914	1505325056	100000	25
vroom_cran	dplyr	read	real	0.08463025093078613	49079914	1505325056	100000	25
vroom_cran	dplyr	materialize	process	0.066179131	49079914	1505325056	100000	25
vroom_cran	dplyr	materialize	real	0.037293434143066406	49079914	1505325056	100000	25
vroom_cran	dplyr	print	process	0.02728473499999995	49079914	1505325056	100000	25
vroom_cran	dplyr	print	real	0.027390241622924805	49079914	1505325056	100000	25
vroom_cran	dplyr	head	process	4.7987799999993364e-4	49079914	1505325056	100000	25
vroom_cran	dplyr	head	real	4.8089027404785156e-4	49079914	1505325056	100000	25
vroom_cran	dplyr	tail	process	2.401109999999873e-4	49079914	1505325056	100000	25
vroom_cran	dplyr	tail	real	2.410411834716797e-4	49079914	1505325056	100000	25
vroom_cran	dplyr	sample	process	0.003771191000000007	49079914	1505325056	100000	25
vroom_cran	dplyr	sample	real	0.003789186477661133	49079914	1505325056	100000	25
vroom_cran	dplyr	filter	process	0.002284682999999954	49079914	1505325056	100000	25
vroom_cran	dplyr	filter	real	0.0022857189178466797	49079914	1505325056	100000	25
vroom_cran	dplyr	aggregate	process	0.0068651029999999835	49079914	1505325056	100000	25
vroom_cran	dplyr	aggregate	real	0.006865739822387695	49079914	1505325056	100000	25
