reading_package	manip_package	op	type	time	size	max_memory	rows	cols
vroom_cran	dplyr	setup	process	0.13715021500000002	37578311	1718538240	100000	25
vroom_cran	dplyr	setup	real	0.13715338706970215	37578311	1718538240	100000	25
vroom_cran	dplyr	read	process	0.13069088500000003	37578311	1718538240	100000	25
vroom_cran	dplyr	read	real	0.08716416358947754	37578311	1718538240	100000	25
vroom_cran	dplyr	materialize	process	0.4692011079999999	37578311	1718538240	100000	25
vroom_cran	dplyr	materialize	real	0.44278383255004883	37578311	1718538240	100000	25
vroom_cran	dplyr	print	process	0.028608575999999997	37578311	1718538240	100000	25
vroom_cran	dplyr	print	real	0.02877330780029297	37578311	1718538240	100000	25
vroom_cran	dplyr	head	process	6.275479999999778e-4	37578311	1718538240	100000	25
vroom_cran	dplyr	head	real	6.282329559326172e-4	37578311	1718538240	100000	25
vroom_cran	dplyr	tail	process	3.335290000000546e-4	37578311	1718538240	100000	25
vroom_cran	dplyr	tail	real	3.3402442932128906e-4	37578311	1718538240	100000	25
vroom_cran	dplyr	sample	process	0.004398300999999938	37578311	1718538240	100000	25
vroom_cran	dplyr	sample	real	0.00439906120300293	37578311	1718538240	100000	25
vroom_cran	dplyr	filter	process	0.22085879799999997	37578311	1718538240	100000	25
vroom_cran	dplyr	filter	real	0.22084593772888184	37578311	1718538240	100000	25
vroom_cran	dplyr	aggregate	process	0.6430346469999999	37578311	1718538240	100000	25
vroom_cran	dplyr	aggregate	real	0.6424894332885742	37578311	1718538240	100000	25
